counter	 |	service	 |	initial_time	 |	final_time	 |	active_processes	 |	total_processes	 |	selected_table
-------------------------------------------------------------------------------------------------------------------
1	 |	client2	 |	1700696964853	 |	1700696966559	 |	2	 |	1	 |	tab3
2	 |	client2	 |	1700696964862	 |	1700696966599	 |	1	 |	2	 |	tab1
3	 |	client2	 |	1700696964857	 |	1700696966604	 |	0	 |	3	 |	tab3
4	 |	client1	 |	1700696964851	 |	1700696966618	 |	2	 |	1	 |	tab2
5	 |	client1	 |	1700696964860	 |	1700696966623	 |	1	 |	2	 |	tab3
6	 |	client3	 |	1700696964855	 |	1700696966632	 |	3	 |	1	 |	tab3
7	 |	client3	 |	1700696964846	 |	1700696966636	 |	2	 |	2	 |	tab1
8	 |	client3	 |	1700696964866	 |	1700696966642	 |	1	 |	3	 |	tab2
9	 |	client3	 |	1700696964871	 |	1700696966653	 |	0	 |	4	 |	tab1
10	 |	client1	 |	1700696964864	 |	1700696966660	 |	0	 |	3	 |	tab1
11	 |	client1	 |	1700696968487	 |	1700696970193	 |	1	 |	4	 |	tab1
12	 |	client2	 |	1700696968495	 |	1700696970200	 |	5	 |	4	 |	tab2
13	 |	client2	 |	1700696968491	 |	1700696970204	 |	4	 |	5	 |	tab3
14	 |	client1	 |	1700696968496	 |	1700696970233	 |	0	 |	5	 |	tab1
16	 |	client2	 |	1700696968485	 |	1700696970247	 |	2	 |	7	 |	tab1
15	 |	client2	 |	1700696968490	 |	1700696970243	 |	3	 |	6	 |	tab1
17	 |	client2	 |	1700696968500	 |	1700696970252	 |	1	 |	8	 |	tab3
18	 |	client2	 |	1700696968489	 |	1700696970256	 |	0	 |	9	 |	tab3
20	 |	client3	 |	1700696968493	 |	1700696970266	 |	0	 |	6	 |	tab1
19	 |	client3	 |	1700696968498	 |	1700696970261	 |	1	 |	5	 |	tab3
